estacion,fecha,pm25_diario
Cerro Navia,2002-07-20,54.55944055944056
Cerro Navia,2002-07-21,57
Cerro Navia,2002-08-20,55.791666666666664
Cerro Navia,2002-09-20,35.24305555555556
Cerro Navia,2002-09-21,8.708333333333334
Cerro Navia,2002-10-20,13.819444444444445
Cerro Navia,2002-10-21,9.541666666666666
Cerro Navia,2002-11-20,14.6875
Cerro Navia,2002-11-21,7.208333333333333
Cerro Navia,2002-12-20,16.225
Cerro Navia,2002-12-21,6.916666666666667
Cerro Navia,2003-01-20,14.979166666666666
Cerro Navia,2003-01-21,12.666666666666666
Cerro Navia,2003-02-20,17.59722222222222
Cerro Navia,2003-02-21,17.041666666666668
Cerro Navia,2003-03-20,16.430555555555557
Cerro Navia,2003-03-21,10
Cerro Navia,2003-04-20,25.696969696969695
Cerro Navia,2003-04-21,11.75
Cerro Navia,2003-05-20,32.68055555555556
Cerro Navia,2003-05-21,22.5
Cerro Navia,2003-06-20,45
Cerro Navia,2003-06-21,58.083333333333336
Cerro Navia,2003-07-20,65.95138888888889
Cerro Navia,2003-07-21,51.958333333333336
Cerro Navia,2003-08-20,60.8125
Cerro Navia,2003-08-21,48.833333333333336
Cerro Navia,2003-09-20,32.43356643356643
Cerro Navia,2003-09-21,16.208333333333332
Cerro Navia,2003-10-20,13.145833333333334
Cerro Navia,2003-10-21,20.166666666666668
Cerro Navia,2003-11-20,15.48611111111111
Cerro Navia,2003-11-21,5.590909090909091
Cerro Navia,2003-12-20,15.491666666666667
Cerro Navia,2003-12-21,8.625
Cerro Navia,2004-01-20,15.916666666666666
Cerro Navia,2004-01-21,13.916666666666666
Cerro Navia,2004-02-20,17.84722222222222
Cerro Navia,2004-02-21,26.208333333333332
Cerro Navia,2004-03-20,16.86111111111111
Cerro Navia,2004-03-21,13.875
Cerro Navia,2004-04-20,23.255172413793105
Cerro Navia,2004-04-21,16.82608695652174
Cerro Navia,2004-05-20,32.354166666666664
Cerro Navia,2004-05-21,23.291666666666668
Cerro Navia,2004-06-20,48.958333333333336
Cerro Navia,2004-06-21,73.41666666666667
Cerro Navia,2004-07-20,55.09090909090909
Cerro Navia,2004-07-21,30.416666666666668
Cerro Navia,2004-08-20,60.1875
Cerro Navia,2004-08-21,49.333333333333336
Cerro Navia,2004-09-20,31.479166666666668
Cerro Navia,2004-09-21,30.625
Cerro Navia,2004-10-20,17.458333333333332
Cerro Navia,2004-10-21,21
Cerro Navia,2004-11-20,14.69718309859155
Cerro Navia,2004-11-21,8.9375
Cerro Navia,2004-12-20,15.625
Cerro Navia,2004-12-21,15.083333333333334
Cerro Navia,2005-01-20,15.125
Cerro Navia,2005-01-21,9.458333333333334
Cerro Navia,2005-02-20,16.416666666666668
Cerro Navia,2005-02-21,18.791666666666668
Cerro Navia,2005-03-20,17.923076923076923
Cerro Navia,2005-03-21,13.208333333333334
Cerro Navia,2005-04-20,21.65277777777778
Cerro Navia,2005-04-21,17.333333333333332
Cerro Navia,2005-05-20,40.36805555555556
Cerro Navia,2005-05-21,28.375
Cerro Navia,2005-06-20,51.145833333333336
Cerro Navia,2005-06-21,66.33333333333333
Cerro Navia,2005-07-20,50.6875
Cerro Navia,2005-07-21,70.83333333333333
Cerro Navia,2005-08-20,46.16783216783217
Cerro Navia,2005-08-21,18.5
Cerro Navia,2005-09-20,30.804195804195803
Cerro Navia,2005-09-21,28.833333333333332
Cerro Navia,2005-10-20,17.20567375886525
Cerro Navia,2005-10-21,13.5
Cerro Navia,2005-11-20,14.159722222222221
Cerro Navia,2005-11-21,6.714285714285714
Cerro Navia,2005-12-20,16.35
Cerro Navia,2005-12-21,6.75
Cerro Navia,2006-01-20,15.394366197183098
Cerro Navia,2006-01-21,9.166666666666666
Cerro Navia,2006-02-20,23.503496503496503
Cerro Navia,2006-02-21,14.708333333333334
Cerro Navia,2006-03-20,15.678321678321678
Cerro Navia,2006-03-21,13.125
Cerro Navia,2006-04-20,22.20689655172414
Cerro Navia,2006-04-21,10.88
Cerro Navia,2006-05-20,45.97222222222222
Cerro Navia,2006-05-21,19.625
Cerro Navia,2006-06-20,41.61805555555556
Cerro Navia,2006-06-21,83.95833333333333
Cerro Navia,2006-07-20,44.541666666666664
Cerro Navia,2006-07-21,78.20833333333333
Cerro Navia,2006-08-20,39.01398601398601
Cerro Navia,2006-08-21,7.125
Cerro Navia,2006-09-20,25.746478873239436
Cerro Navia,2006-09-21,16.25
Cerro Navia,2006-10-20,18.92361111111111
Cerro Navia,2006-10-21,12.916666666666666
Cerro Navia,2006-11-20,14.25
Cerro Navia,2006-11-21,10.434782608695652
Cerro Navia,2006-12-20,17.125
Cerro Navia,2006-12-21,7.5
Cerro Navia,2007-01-20,15.409722222222221
Cerro Navia,2007-01-21,6
Cerro Navia,2007-02-20,27.45138888888889
Cerro Navia,2007-02-21,11.583333333333334
Cerro Navia,2007-03-20,13.118055555555555
Cerro Navia,2007-03-21,9.208333333333334
Cerro Navia,2007-04-20,23.833333333333332
Cerro Navia,2007-04-21,18.333333333333332
Cerro Navia,2007-05-20,41.520833333333336
Cerro Navia,2007-05-21,13.208333333333334
Cerro Navia,2007-06-20,52.84722222222222
Cerro Navia,2007-06-21,79.83333333333333
Cerro Navia,2007-07-20,55.71328671328671
Cerro Navia,2007-07-21,85.33333333333333
